#genome	scope	assembly_level	total_length	gc	proteins	protein_length	coding_density	completeness	contamination	strain_heterogeneity	16s_copies
G001829655	Environment	Scaffold	1698683	36.01	1828	542313	94.04944889658636	78.03	1.22	33.33	0
G001829675	Environment	Scaffold	2182863	36.18	2276	698892	94.32465528070246	98.37	1.22	0.0	0
G001829695	Environment	Scaffold	1723710	34.46	2060	554844	94.80950972031258	86.12	2.24	28.57	0
G001829705	Environment	Scaffold	1865831	36.34	2257	595890	94.06285992675649	90.78	1.63	40.0	0
G001829715	Environment	Scaffold	2501187	35.72	2564	789391	92.97901356435965	97.24	2.29	0.0	0
G001829755	Environment	Scaffold	1465159	36.21	2083	466889	93.82654032770505	59.19	7.02	0.0	0
G001829775	Environment	Scaffold	1572598	35.98	1963	498700	93.39271701986141	68.34	2.04	16.67	0
G001829785	Environment	Scaffold	2342198	34.44	2330	752113	94.60908087189897	99.59	1.02	0.0	0
G001829835	Environment	Scaffold	2019583	56.32	2134	603779	88.06506095565273	74.88	0.16	0.0	0
G001829875	Environment	Scaffold	2058599	55.77	2031	631948	90.44335492244969	71.94	0.09	33.33	0
G001829915	Environment	Scaffold	1755148	34.77	1801	551271	92.53185486352147	76.51	0.89	0.0	0
G001829935	Environment	Scaffold	862668	38.4	862	269061	91.89305735230703	57.33	2.89	0.0	1
G001829955	Environment	Scaffold	1235150	38.39	1204	388296	92.62632068979477	71.33	1.01	33.33	0
G001829965	Environment	Scaffold	2174425	34.62	2059	685169	92.8421996619796	98.67	1.78	0.0	0
G001829995	Environment	Scaffold	1276494	38.16	1296	401215	92.60067027342079	76.74	2.22	0.0	0
G001830015	Environment	Scaffold	2161296	34.62	2042	681060	92.84665311923956	98.67	1.78	0.0	0
G001830035	Environment	Scaffold	1247001	38.03	1268	389517	92.0248660586479	64.97	2.49	25.0	0
G001830045	Environment	Scaffold	2054970	34.68	2002	646526	92.69507584052322	96.67	1.78	0.0	1
G001830065	Environment	Contig	2183655	34.63	2080	687827	92.80820459275847	98.67	1.78	0.0	0
G001830095	Environment	Scaffold	2174656	34.63	2066	685402	92.86420472939169	98.67	1.78	0.0	0
G001830115	Environment	Scaffold	1388926	49.1	1645	406041	86.09141163748104	71.25	0.0	0.0	1
G001830135	Environment	Scaffold	852988	40.71	916	262466	90.64558938695504	37.26	3.27	0.0	0
G001830155	Environment	Scaffold	3785777	60.98	3748	1168055	90.90194694510532	60.49	2.84	33.33	0
G001830165	Environment	Scaffold	2204903	34.68	2152	691747	92.4327736866429	98.42	2.44	0.0	1
G001830285	Environment	Scaffold	2106129	37.88	2122	626014	87.56329740485982	79.45	0.55	0.0	0
G001830315	Environment	Scaffold	1884647	38.72	1946	547429	85.56010754268571	85.16	4.4	0.0	0
G001830325	Environment	Scaffold	2112926	45.55	2161	669519	93.35494948710934	98.63	0.0	0.0	0
G001830535	Environment	Scaffold	1032911	58.78	1583	319198	90.9673727939774	46.41	2.89	27.27	0
G001830645	Environment	Scaffold	3426446	55.13	3529	1067288	91.76642503632043	76.84	1.53	60.0	0
G001830665	Environment	Scaffold	1636743	43.65	2263	519388	93.43690487755255	73.85	4.3	15.38	0
G001830685	Environment	Scaffold	1435770	43.29	1540	461925	94.77841158402808	68.24	0.04	0.0	0
G001830715	Environment	Scaffold	951418	42.76	1483	300821	93.07139448696577	48.54	2.17	0.0	0
G001830725	Environment	Scaffold	2156479	43.98	2423	697237	95.243867433905	95.27	2.09	57.14	1
G001830745	Environment	Scaffold	2176059	43.93	2542	703833	95.27319801531117	95.08	4.21	78.57	0
G001830775	Environment	Scaffold	1815804	36.18	2013	579226	93.96680478730083	83.33	0.82	0.0	0
G001830805	Environment	Scaffold	2360463	34.49	2354	757873	94.59546707573895	99.59	1.02	0.0	0
G001830835	Environment	Scaffold	2599854	56.37	2570	776212	87.95755453960106	88.71	0.2	0.0	1
G001830855	Environment	Scaffold	2856481	55.19	3348	863892	89.0736539119287	65.32	5.48	0.0	0
G001830865	Environment	Scaffold	2155962	34.61	2040	679574	92.8732046297662	98.67	1.78	0.0	0
G001830895	Environment	Scaffold	925570	38.08	903	288294	91.77004440506931	52.18	1.33	25.0	1
G001830905	Environment	Contig	2170461	34.63	2058	683973	92.8497678603762	98.67	1.78	0.0	0
G001830945	Environment	Contig	2197232	34.65	2098	692051	92.80053267019596	98.67	1.78	0.0	0
G001830975	Environment	Scaffold	2180504	34.67	2116	686290	92.73126763353794	98.67	1.78	0.0	0
G001831055	Environment	Scaffold	1296502	41.76	1287	359569	81.69613313361646	67.27	0.04	0.0	0
G001831495	Monoisolate	Complete Genome	3861670	38.76	3306	1148644	87.64570768605292	97.98	1.29	0.0	6
G001832905	Monoisolate	Contig	2157756	32.98	2197	656227	89.59405048578245	98.63	1.35	0.0	1
G001853345	Monoisolate	Scaffold	4923741	66.56	4624	1514834	90.6474162633656	99.55	0.9	100.0	2
G001854105	Monoisolate	Chromosome	2098685	52.5	1857	626468	87.9573637777942	98.27	0.55	100.0	5
G001854205	Monoisolate	Chromosome	9384763	43.67	7512	2430894	76.31697252237484	99.0	0.93	0.0	1
G001854245	Monoisolate	Complete Genome	4455399	56.83	3859	1319074	87.23440930879592	98.39	1.94	0.0	3
G001854465	Multispecies	Scaffold	2143397	26.99	1982	663269	91.17708945193075	100.0	0.56	0.0	1
G001854555	Multiisolate	Scaffold	4854417	43.35	4183	1475908	89.59075827231159	100.0	0.56	0.0	7
G001854605	Multiisolate	Scaffold	4856394	43.34	4193	1477566	89.65479324782957	100.0	0.56	0.0	6
G001854655	Monoisolate	Contig	8361025	71.44	6965	2434721	85.80530497157945	99.45	1.38	0.0	0
G001856685	Monoisolate	Complete Genome	2207832	51.94	1767	678897	90.61790027502093	98.46	1.66	25.0	3
G001856825	Environment	Contig	1687956	44.3	1754	510318	89.05806786432822	97.13	0.81	0.0	1
G001856845	Environment	Contig	1827255	37.91	1923	548927	88.48879877192839	96.33	1.61	0.0	1
G001857665	Multiisolate	Contig	3298172	56.55	3430	1002324	89.52368160302132	99.34	2.64	0.0	1
G001858025	Monoisolate	Scaffold	5938148	39.19	5295	1640099	81.36956168825701	99.0	1.41	100.0	2
G001858115	Monoisolate	Contig	3556598	40.16	3249	1062774	88.04405220944285	97.41	2.0	100.0	1
G001858125	Monoisolate	Contig	3594524	40.08	3331	1058473	86.7580519701635	97.74	0.44	100.0	4
G001858325	Monoisolate	Contig	4149715	53.85	4494	1272371	90.31964845778565	98.98	0.73	40.0	1
G001858525	Multiisolate	Contig	3030228	51.39	2816	897184	87.23294088761637	95.73	1.71	0.0	1
G001865575	Multispecies	Complete Genome	7829542	63.21	7108	2272098	85.49971377636138	100.0	0.2	0.0	7
G001865655	Monoisolate	Complete Genome	4399611	35.95	3777	1372253	91.91012569065765	99.67	1.06	0.0	2
G001865765	Monoisolate	Complete Genome	2337866	52.18	2122	701215	88.37379901157722	99.56	0.0	0.0	4
G001865835	Monoisolate	Complete Genome	4065010	34.13	3559	1183761	85.80244575044095	99.65	0.18	0.0	9
G001865855	Monoisolate	Complete Genome	8304518	68.08	7794	2492384	88.42071267712348	99.81	3.2	13.33	4
G001866515	Monoisolate	Contig	5969261	65.8	5088	1827699	90.22538970904439	99.85	0.04	0.0	7
G001866985	Monoisolate	Complete Genome	2403454	52.08	2215	720945	88.37780960234728	99.56	0.0	0.0	4
G001867005	Monoisolate	Complete Genome	2403533	52.08	2212	721076	88.39150533818342	99.56	0.0	0.0	4
G001867045	Monoisolate	Complete Genome	2403502	52.08	2215	720897	88.37017818166991	99.56	0.0	0.0	4
G001867465	Multiisolate	Contig	1898461	38.02	2064	570970	88.58628120356437	98.66	0.8	100.0	1
G001867525	Multiisolate	Contig	1965363	38.0	2495	592612	88.78939921022223	97.95	7.14	90.62	1
G001867535	Multiisolate	Contig	1983393	37.96	2289	597436	88.71494454200453	98.66	1.24	90.0	1
G001867555	Multiisolate	Contig	1842730	38.04	1981	552244	88.27234592154032	98.66	1.0	100.0	1
G001867615	Multiisolate	Contig	2000007	38.0	2409	601664	88.59268992558526	98.4	4.35	94.74	1
G001867795	Multiisolate	Contig	1902788	37.97	2124	570903	88.36859387383144	98.66	2.94	100.0	2
G001867835	Multiisolate	Contig	1886021	37.98	2066	566529	88.47483670648418	98.66	0.71	100.0	1
G001867875	Multiisolate	Contig	1921702	37.94	2170	576785	88.4014795217989	98.66	1.29	100.0	1
G001867915	Multiisolate	Contig	1890232	37.99	2083	567856	88.4854874957148	98.66	2.08	75.0	1
G001867975	Multiisolate	Contig	1956141	37.88	2244	588216	88.56202083592134	98.66	2.78	100.0	1
G001868045	Multiisolate	Contig	1890640	38.03	2171	567217	88.3588097152287	98.66	2.75	100.0	1
G001868055	Multiisolate	Contig	2014016	37.96	2474	606122	88.62367528361244	98.66	8.41	93.55	0
G001868105	Multiisolate	Contig	1934790	37.99	2193	581681	88.5472842013862	98.66	2.71	100.0	1
G001868115	Multiisolate	Contig	1938768	37.98	2191	581728	88.37148127058008	98.66	1.68	85.71	1
G001868145	Multiisolate	Contig	1924289	37.94	2175	576858	88.29229912970453	99.2	3.25	100.0	2
G001868185	Multiisolate	Contig	1978057	37.87	2386	594664	88.53521410151477	98.66	5.84	96.3	1
G001868195	Multiisolate	Contig	1935183	37.99	2285	579388	88.17383162212566	98.66	7.75	100.0	1
G001868205	Multiisolate	Contig	1979372	38.06	2402	595820	88.64554010059756	98.66	5.64	100.0	2
G001868225	Multiisolate	Contig	2047588	37.96	2583	617226	88.76556221271076	97.95	5.04	94.44	1
G001868275	Multiisolate	Contig	1875288	38.0	2029	561474	88.18805431485724	98.66	1.8	100.0	1
G001868315	Multiisolate	Contig	1942692	37.97	2186	583814	88.51186909710856	98.66	0.18	100.0	1
G001868345	Multiisolate	Contig	1860059	38.04	2057	557882	88.33897204335992	98.66	1.35	85.71	2
G001868405	Multiisolate	Contig	1939222	38.01	2257	583747	88.65354250312755	98.66	5.1	94.12	0
G001868425	Multiisolate	Contig	1978110	37.96	2362	592438	88.20040341538134	98.66	6.84	96.15	1
G001868525	Multiisolate	Contig	1886381	38.11	2143	567253	88.5645052616624	98.66	5.88	92.59	1
G001868545	Multiisolate	Contig	1982692	37.93	2299	595182	88.40889053872209	98.66	4.33	100.0	1
G001868555	Multiisolate	Contig	1935305	37.96	2218	582772	88.68803625268369	98.66	6.35	96.3	1
G001868715	Multiisolate	Contig	2024759	37.93	2429	608256	88.46978825628136	98.66	5.74	88.89	1
G001868805	Multiisolate	Contig	1863379	38.0	2043	559490	88.43740323358801	98.66	1.41	100.0	1
G001869295	Multiisolate	Contig	2036137	37.94	2526	615415	89.00471824833005	98.13	8.56	93.75	1
G001869305	Multiisolate	Contig	2020104	37.97	2443	608721	88.74033218091742	98.13	4.5	100.0	1
G001869395	Multiisolate	Contig	1891558	37.96	2066	568307	88.49371787700933	98.66	0.8	100.0	1
G001869405	Multiisolate	Contig	1938238	38.09	2176	582421	88.5012057342803	98.66	0.17	100.0	1
G001869445	Multiisolate	Contig	2018634	37.99	2340	606908	88.54606630028029	98.66	3.45	100.0	1
G001869655	Multiisolate	Contig	1969703	37.92	2265	592748	88.63016403995933	98.66	4.95	100.0	1
G001869735	Multiisolate	Contig	1949700	37.94	2229	587274	88.71410986305585	98.66	4.16	88.24	1
G001869815	Multiisolate	Contig	1938054	37.96	2189	583268	88.639635428115	98.66	0.65	100.0	1
G001869885	Multiisolate	Contig	1935032	37.98	2178	581356	88.4870637798238	98.66	0.9	75.0	1
G001869945	Multiisolate	Contig	1901973	38.02	2100	570173	88.29541744283436	98.66	1.64	100.0	1
G001869985	Multiisolate	Contig	1946661	37.96	2177	586411	88.7257719757061	98.66	0.53	100.0	1
G001870005	Multiisolate	Contig	2051419	38.0	2584	615172	88.30599697087723	98.66	8.72	100.0	1
G001870015	Multiisolate	Contig	1969879	37.96	2242	592561	88.5942233000098	98.66	0.97	100.0	1
G001870125	Other	Complete Genome	2989777	33.94	3206	783469	77.17067192636775	99.03	2.91	0.0	2
G001870225	Monoisolate	Chromosome	3049282	52.23	3094	921952	89.07070582517458	98.29	0.0	0.0	1
G001870485	Monoisolate	Contig	3819538	58.72	3677	1150064	88.70722061149804	99.46	0.9	0.0	0
G001870665	Monoisolate	Contig	3893644	59.0	3735	1192486	90.23182396747109	98.98	0.4	0.0	2
G001870675	Monoisolate	Scaffold	3504907	60.27	3376	1071285	90.05109122724227	99.4	0.4	0.0	1
G001870735	Monoisolate	Scaffold	7560024	51.52	6502	2309935	90.0362221072314	100.0	0.74	0.0	1
G001870905	Multispecies	Scaffold	4795982	48.82	4020	1361794	83.66578523438996	99.37	1.63	66.67	1
G001871035	Environment	Scaffold	1005070	45.39	1021	297960	87.32884276717044	34.66	0.0	0.0	0
G001871115	Environment	Scaffold	2990386	56.3	2724	916976	90.35254980460716	92.08	1.12	0.0	1
G001871125	Environment	Scaffold	2088276	37.04	2254	649114	91.56246588094677	95.51	1.12	0.0	1
G001871165	Environment	Scaffold	696515	37.46	687	216297	91.49393767542695	66.67	0.0	0.0	0
G001871235	Environment	Scaffold	635779	40.65	694	196955	91.25104792703125	60.89	0.0	0.0	0
G001871285	Environment	Scaffold	1035425	37.29	1089	313595	89.2111934712799	57.03	0.0	0.0	0
G001871315	Environment	Scaffold	2318166	35.98	2428	734701	93.36669591392506	100.0	1.06	66.67	0
G001871325	Environment	Scaffold	3659623	37.22	3296	1118389	90.04698024905844	90.03	1.4	0.0	0
G001871365	Environment	Scaffold	713886	37.57	683	215331	88.86797051630091	53.63	1.16	0.0	1
G001871415	Environment	Scaffold	1534662	57.09	1517	463421	88.96206461096972	79.91	0.0	0.0	1
G001871435	Environment	Scaffold	837160	32.33	824	242745	85.41413827703187	67.79	1.12	0.0	0
G001871445	Environment	Scaffold	1040600	41.22	1016	316233	89.52575437247742	78.65	1.12	100.0	0
G001871475	Environment	Scaffold	1154623	46.99	1200	362103	92.38755853642272	92.21	0.0	0.0	1
G001871535	Environment	Scaffold	1178602	49.16	1280	347349	86.80334837375128	81.0	0.0	0.0	0
G001871575	Environment	Scaffold	1221537	35.56	1305	376592	90.81730639350262	91.07	0.0	0.0	0
G001871685	Environment	Scaffold	1793524	43.94	2013	557540	91.5662684190454	89.77	0.0	0.0	0
G001871765	Environment	Scaffold	681623	43.0	741	199740	86.31398881786559	60.23	0.0	0.0	1
G001871815	Environment	Scaffold	1169003	39.65	1163	361818	91.18411158910628	71.38	2.15	0.0	0
G001871835	Environment	Scaffold	471552	43.29	601	154015	96.17900040716613	49.25	0.99	0.0	0
G001871865	Environment	Scaffold	924845	40.7	983	274534	87.43594872654337	60.28	0.0	0.0	1
G001871895	Environment	Scaffold	2362022	57.58	2667	705226	87.934998065217	56.36	2.91	25.0	1
G001871925	Environment	Scaffold	2445008	53.2	2522	746670	89.9606872451951	88.66	2.52	0.0	0
G001871995	Environment	Scaffold	771475	42.35	815	224922	85.87822029229723	51.49	0.4	0.0	0
G001872005	Environment	Scaffold	641908	43.72	744	195584	89.73622388255015	48.33	2.97	0.0	0
G001872035	Environment	Scaffold	770971	46.89	981	252226	96.35031667857805	60.31	0.5	100.0	0
G001872105	Environment	Scaffold	956248	49.2	987	303808	93.5989408605299	54.59	9.68	9.09	0
G001872165	Environment	Scaffold	1474363	58.04	1703	451236	90.13757127654452	59.24	0.91	0.0	0
G001872225	Environment	Scaffold	687496	36.95	716	204724	87.713528515075	58.55	0.0	0.0	1
G001872245	Environment	Contig	830170	36.6	887	251836	89.35495139549731	68.81	2.97	0.0	0
G001872265	Environment	Scaffold	555297	39.51	617	174932	92.80114965504947	58.95	0.62	33.33	0
G001872305	Environment	Scaffold	651023	39.51	724	189611	85.78360518752794	65.65	0.0	0.0	1
G001872335	Environment	Contig	947625	34.03	978	295276	91.79485555995251	58.82	0.0	0.0	1
G001872385	Environment	Contig	637227	40.29	666	185037	85.53356966983509	58.92	0.0	0.0	1
G001872425	Environment	Scaffold	759879	41.38	900	232402	90.06644478923617	69.83	3.45	0.0	1
G001872435	Environment	Scaffold	692593	40.97	727	215082	91.478833889456	61.39	1.98	0.0	0
G001872485	Environment	Scaffold	527314	43.63	534	150207	83.90958707714948	60.36	0.0	0.0	1
G001872505	Environment	Scaffold	494858	49.98	552	154630	92.0360992446318	51.1	1.71	50.0	1
G001872545	Environment	Scaffold	1061238	58.12	1007	301318	83.64476206091376	64.85	0.0	0.0	1
G001872575	Environment	Contig	1368207	54.15	1413	421817	90.82090648564143	79.55	3.4	0.0	1
G001872685	Environment	Scaffold	3022545	47.83	2764	932544	90.90733140449522	94.51	0.0	0.0	1
G001872735	Environment	Contig	1839891	43.36	1711	574128	91.9427292160242	95.27	0.0	0.0	1
G001872775	Environment	Scaffold	1289228	42.7	1263	413937	94.59893827934238	91.94	1.08	0.0	0
G001872865	Environment	Scaffold	776045	59.81	852	245006	92.99538042252703	42.85	0.0	0.0	1
G001872925	Environment	Scaffold	1227779	45.84	1386	372203	89.28976631787968	79.87	0.0	0.0	1
G001872935	Environment	Contig	880072	33.09	1020	269923	90.33113199829104	76.73	0.0	0.0	0
G001872945	Environment	Scaffold	895686	37.25	950	260401	85.63012037700713	68.81	0.0	0.0	0
G001872985	Environment	Scaffold	2825442	53.49	2418	851886	88.84312613743266	62.17	0.0	0.0	0
G001872995	Environment	Scaffold	2110980	31.5	1870	648633	90.53804394167638	69.88	2.15	0.0	0
G001873005	Environment	Scaffold	1075595	45.59	1263	326341	89.35919188914043	80.93	0.99	100.0	1
G001873045	Environment	Scaffold	903907	49.19	974	291594	95.03544059289285	59.46	2.25	33.33	0
G001873075	Environment	Scaffold	2090967	44.78	2025	650891	91.71306864240324	71.36	2.75	33.33	0
G001873115	Environment	Scaffold	2515961	60.25	2314	741812	86.8688743585453	91.07	0.6	0.0	0
G001873135	Environment	Scaffold	1992130	35.97	2120	628201	92.896798903686	93.14	1.65	40.0	0
G001873185	Environment	Scaffold	3583302	36.48	3086	1083515	89.10312332033415	94.41	0.3	100.0	0
G001873245	Environment	Scaffold	752568	44.6	746	226785	88.77961858596167	64.85	0.99	100.0	0
G001873265	Environment	Scaffold	1502367	40.64	1624	458550	89.90732623919455	85.09	0.91	0.0	0
G001873305	Environment	Scaffold	622542	43.19	679	181679	85.95901963241033	50.83	1.71	0.0	1
G001873365	Environment	Scaffold	4818830	39.84	4247	1410933	86.26894910175291	99.02	0.11	0.0	0
G001873375	Environment	Scaffold	3495288	44.32	3324	1007965	84.95626111496392	98.58	0.24	100.0	0
G001873405	Environment	Scaffold	526254	35.75	616	161294	90.27180791024865	56.24	3.63	0.0	0
G001873435	Environment	Contig	976464	35.65	1014	307703	92.83660227105148	64.81	0.0	0.0	1
G001873465	Environment	Contig	463448	36.26	506	146126	92.8835597521189	73.98	1.72	0.0	0
G001873485	Environment	Scaffold	651172	44.1	676	189804	85.853353645427	48.9	0.0	0.0	0
G001873495	Environment	Scaffold	713871	44.38	799	206780	85.31079144551327	49.97	0.93	0.0	1
G001873515	Environment	Scaffold	619304	45.08	677	189783	90.26536240683089	60.37	2.18	100.0	0
G001873525	Environment	Scaffold	895012	48.36	894	267533	88.05502049134537	74.26	1.98	0.0	1
G001873565	Environment	Scaffold	1170047	43.81	1095	362308	91.23505295086437	78.55	1.65	0.0	1
G001873595	Environment	Scaffold	919287	33.27	1068	279249	89.46640167869229	55.41	1.12	100.0	1
G001873625	Environment	Scaffold	825475	40.56	815	251559	89.7784911717496	64.04	0.0	0.0	1
G001873675	Environment	Scaffold	2030295	48.47	2110	616305	89.42365518311378	84.88	2.58	0.0	0
G001873715	Environment	Scaffold	2430873	43.73	2345	750888	91.01063691932897	98.78	0.0	0.0	0
G001873745	Environment	Scaffold	3039660	57.77	2962	921463	89.31248889678452	91.29	0.75	33.33	1
G001873755	Environment	Scaffold	1443902	54.08	1394	447692	91.35142135685109	74.23	0.0	0.0	0
G001873785	Environment	Scaffold	567895	39.54	569	175179	90.87084760387043	55.41	0.99	0.0	1
G001873795	Environment	Contig	2310158	46.4	2262	730221	93.13155204102924	99.58	0.84	0.0	0
G001873845	Environment	Scaffold	1660967	32.19	1628	446528	79.18874968617679	95.02	1.87	0.0	1
G001873875	Environment	Scaffold	896114	41.04	892	270798	89.02003539728204	70.79	0.99	0.0	0
G001873905	Environment	Scaffold	2574348	42.99	2818	754447	86.31898251518443	91.36	1.94	33.33	1
G001873945	Environment	Scaffold	2148420	40.16	2002	625950	85.83740609378054	91.13	1.69	50.0	0
G001874005	Environment	Scaffold	3439766	50.72	3212	1008057	86.33889630864425	95.81	0.0	0.0	1
G001874025	Environment	Scaffold	1191412	46.04	1286	372055	91.99386945909559	62.37	4.46	25.0	0
G001874155	Environment	Contig	2569663	44.52	2306	770091	88.29994438959505	69.99	0.47	28.57	0
G001874165	Environment	Contig	1705329	36.73	1471	545104	94.19449267560688	46.55	0.0	0.0	1
G001874305	Environment	Contig	3755514	35.67	3658	1195543	93.79448458985907	91.82	1.79	0.0	0
G001874325	Environment	Contig	2516828	33.23	2362	782987	91.66359401595977	88.69	1.24	0.0	0
G001874625	Multiisolate	Complete Genome	4889093	40.5	4501	1406149	84.73209652587913	99.46	1.62	0.0	7
G001875255	Other	Contig	2921957	56.6	4185	880271	88.69062754859158	76.27	0.18	0.0	0
G001875345	Environment	Contig	1177165	36.57	1107	386619	96.77683247463185	79.6	2.0	33.33	0
G001875425	Environment	Contig	1042930	37.55	989	341298	96.42411283595256	83.71	4.8	0.0	0
G001875605	Environment	Scaffold	997997	49.01	1163	305885	90.27441966258417	28.93	0.0	0.0	0
G001875845	Multispecies	Contig	2435796	53.59	2367	743471	89.92292457989093	99.4	0.0	0.0	1
G001875875	Multispecies	Scaffold	2376320	53.35	2230	724837	89.86883079719902	99.45	0.0	0.0	1
G001875905	Multispecies	Scaffold	2218671	53.59	2145	678269	90.0660800993027	99.4	0.0	0.0	2
G001876005	Multispecies	Scaffold	2372854	53.34	2222	723709	89.86026953196446	99.45	0.0	0.0	1
G001876035	Multispecies	Scaffold	2378368	53.35	2217	724714	89.77668720736236	99.45	0.0	0.0	1
G001876055	Multispecies	Contig	2466200	53.57	2418	752217	89.85840564431109	99.4	0.0	0.0	1
G001876085	Multispecies	Contig	2445565	53.59	2373	746552	89.93541369785714	99.4	0.44	100.0	1
G001876095	Multispecies	Scaffold	2448783	53.59	2396	748587	90.06077712888401	99.4	0.0	0.0	1
G001876115	Multispecies	Scaffold	2453791	53.59	2393	748973	89.92416224527679	99.4	0.0	0.0	1
G001876175	Multispecies	Scaffold	2396013	53.37	2254	731143	89.90560568744827	99.45	0.44	100.0	1
G001876195	Multispecies	Contig	2285638	53.44	2156	699034	90.10888863415816	99.45	0.0	0.0	1
G001876255	Multispecies	Scaffold	2369434	53.37	2214	722913	89.89159436388606	99.4	0.0	0.0	1
G001878675	Environment	Complete Genome	3917759	37.42	3869	1120660	84.26046625124211	100.0	0.0	0.0	8
G001878775	Multispecies	Scaffold	3220005	43.01	3069	939419	85.95135721838942	99.66	0.09	0.0	1
G001879715	Monoisolate	Contig	4015438	63.61	3912	1234355	90.56606029030955	99.94	0.15	0.0	1
G001880325	Monoisolate	Complete Genome	2388273	66.9	2530	760268	93.77633963956382	99.36	0.0	0.0	2
G001881485	Monoisolate	Contig	1325615	38.24	1515	408600	90.78586165666502	89.49	0.52	66.67	0
G001881495	Monoisolate	Contig	1493003	37.05	1309	458348	90.46197495919299	93.02	0.58	0.0	1
G001881585	Monoisolate	Contig	4705751	65.95	4695	1459155	91.35228362061656	98.18	0.8	33.33	1
G001884305	Monoisolate	Contig	2181636	44.7	2287	646062	87.23260892284506	98.77	0.31	100.0	1
G001884705	Monoisolate	Contig	8360800	71.09	7958	2499050	88.06181226676874	100.0	7.5	95.24	2
G001884735	Monoisolate	Contig	4073955	63.01	3903	1252729	90.5970242675729	98.68	0.4	0.0	1
G001884825	Environment	Contig	2367232	56.49	2671	735496	91.51878649832378	92.92	0.0	0.0	0
G001885655	Monoisolate	Contig	5117533	42.41	5153	1409102	81.10394207521475	99.89	0.51	66.67	1
G001886395	Multiisolate	Complete Genome	4927947	44.7	4262	1471056	87.95944842750947	99.84	4.18	0.0	5
G001886435	Multiisolate	Complete Genome	4652214	44.53	4065	1385100	87.72816555730239	99.84	0.49	0.0	5
G001886695	Multispecies	Complete Genome	2724951	62.71	2657	852947	92.22452073450128	99.25	0.34	0.0	1
G001886715	Monoisolate	Complete Genome	7310115	68.09	6604	2216933	89.35808807385384	99.81	2.67	0.0	3
G001886815	Monoisolate	Complete Genome	4978541	45.1	3808	1473074	87.1992216193459	98.84	1.1	0.0	1
G001886915	Monoisolate	Complete Genome	1983917	37.68	1977	592465	87.97550502364766	99.89	0.53	0.0	4
G001887245	Monoisolate	Complete Genome	2667837	59.15	2387	814669	89.98087214473748	99.08	0.22	0.0	3
G001887285	Monoisolate	Complete Genome	3410829	70.1	3209	1077832	93.10783390196342	99.49	3.55	66.67	2
G001887595	Monoisolate	Complete Genome	4765486	64.72	4316	1470275	90.90854531940708	99.66	1.08	0.0	2
G001888055	Monoisolate	Contig	1750840	45.19	2074	527351	88.70616389847159	95.29	0.0	0.0	1
G001888095	Monoisolate	Scaffold	1990446	42.07	2032	607058	89.84720007475711	99.51	1.96	0.0	1
G001888885	Monoisolate	Scaffold	9560682	72.2	8716	2744438	84.57018024446373	99.47	2.11	33.33	11
G001889005	Monoisolate	Complete Genome	2978889	38.16	2649	927901	91.7856959423463	99.62	0.76	100.0	3
G001889025	Monoisolate	Complete Genome	2533041	46.12	2367	788193	91.68161904998775	98.05	0.85	80.0	2
G001889065	Monoisolate	Contig	2519568	39.65	2833	741187	86.64306738297995	99.41	0.13	100.0	2
G001889105	Monoisolate	Complete Genome	6751508	62.27	6259	1991389	86.90125228319361	99.96	1.43	20.0	3
G001889145	Monoisolate	Complete Genome	2370282	52.05	2152	709166	88.15292863887082	99.56	0.0	0.0	4
G001889305	Monoisolate	Complete Genome	1521287	46.91	1612	466908	90.40818727827163	99.01	0.0	0.0	1
G001889405	Monoisolate	Complete Genome	2022959	42.4	2038	617933	89.98981195367776	99.51	0.0	0.0	1
G001889965	Environment	Scaffold	1000920	45.86	985	308764	90.88118930583863	72.11	0.99	0.0	0
G001890035	Environment	Scaffold	674219	49.22	714	206523	90.23106735348604	58.95	2.56	0.0	1
G001890045	Environment	Scaffold	592841	39.17	596	183534	91.20371229385282	53.63	0.99	0.0	0
G001890765	Monoisolate	Scaffold	5050153	53.48	4470	1474910	86.04951176726725	99.67	0.11	0.0	2
G001890925	Monoisolate	Contig	4106736	53.77	4184	1272042	91.25188470843999	99.57	0.0	0.0	1
G001890965	Multispecies	Contig	11346547	38.66	9242	3337018	86.66343161492215	98.79	4.22	0.0	1
G001890975	Multispecies	Contig	5826181	44.81	5322	1718247	86.89127577739174	98.89	0.44	50.0	1
G001894865	Monoisolate	Contig	5673710	69.17	5195	1758733	91.33780189681883	99.69	0.42	0.0	1
G001895925	Monoisolate	Scaffold	5684389	48.62	5517	1640762	85.0280302773086	95.99	1.18	100.0	1
G001896565	Environment	Contig	2881270	56.23	2583	901811	92.2259975635744	98.85	0.0	0.0	0
G001896635	Environment	Contig	1930657	45.27	1896	604988	92.32598022331258	100.0	0.0	0.0	0
G001896645	Environment	Contig	2261550	38.65	2151	691350	90.06858128274857	89.42	0.0	0.0	0
G001896655	Environment	Contig	2862036	37.23	2445	888669	91.49685748187653	100.0	0.55	0.0	0
G001896705	Environment	Contig	2034069	47.01	2206	620203	89.81420984243897	92.86	9.82	5.88	0
G001896715	Environment	Contig	2687785	60.25	3007	807128	88.44781111584446	86.06	1.59	16.67	1
G001896725	Environment	Contig	2181761	42.33	2106	647898	87.48721789416898	99.18	0.65	0.0	0
